Time;CollisionTarget;targetPositionX;targetPositionY;ballPositionX;ballPositionY;Score;Speed;Bonus
0,2044918;Block;0,2;-45,87601;0;-35;0;80;False
0,2044918;Block;0,2;-45,87601;0;-35;0;80;False
0,9387414;Racket;15,03;-109,6;0,2;-101,988;1;80;False
1,689548;Block;-14,69294;-46,33059;0;-35;1;80;False
2,439574;Racket;-37,575;-109,6;-29,58586;-101,988;2;80;False
3,174199;Block;-21,56447;-46,40089;-35;-35;2;80;False
3,909928;Racket;17,535;-109,6;-13,54307;-101,988;3;80;False
4,728667;Block;-44,46172;-46,64059;-35;-35;3;80;False
5,548163;Racket;-77,65499;-109,6;-75,3803;-101,988;4;80;False
6,281507;Block;-73,07677;-45,91901;-70;-35;4;80;False
7,015912;Racket;-62,625;-109,6;-70,77325;-101,988;5;80;False
7,750962;Block;-78,95141;-46,42166;-70;-35;5;80;False
8,486121;Racket;-57,615;-109,6;-87,12957;-101,988;6;80;False
9,305713;Block;-116,8192;-46,02515;-105;-35;6;80;False
10,12194;Racket;-152,805;-109,6;-146,5089;-101,988;7;80;False
10,85913;Block;-140,1649;-46,20377;-140;-35;7;80;False
11,59209;Racket;-148,4259;-109,6;-133,821;-101,988;8;80;False
12,34417;Block;-119,1405;-46,27908;-105;-35;8;80;False
13,09507;Racket;-75,78095;-109,6;-104,4601;-101,988;9;80;False
13,89719;Block;-132,8842;-46,89864;-140;-35;9;80;False
14,69803;Racket;-173,476;-109,6;-161,308;-101,988;10;80;False
17,45389;Top;0,06;118,1;-116,047;111,1403;10;80;False
20,20835;Racket;-68,26596;-109,6;-70,78503;-101,988;10;80;False
22,89933;Top;0,06;118,1;-80,1179;110,2359;10;80;False
