0,0037418
0,0037418
0,0074836
0,0274836
0,0378125
0,0466333
0,0552554
0,06374151
0,0722526
0,0808101
0,0894127
0,0980019
0,1065733
0,1154684
0,1258505
0,1346361
0,1431128
0,1519278
0,1611137
0,1696365
0,1781945
0,1871104
0,1957338
0,2046934
0,2146333
0,2235568
0,2325847
0,2413358
0,2505369
0,2596289
0,269095
0,2783285
0,2875332
0,2969208
0,3063065
0,3160997
0,3253521
0,3348315
0,3438771
0,3533704
0,3620302
0,3712742
0,3811899
0,390648
0,4004221
0,4098827
0,4192742
0,428661
0,4378588
0,4471796
0,4576616
0,4674884
0,4766658
0,4857803
0,4953328
0,5050864
0,5141408
0,5227414
0,5318059
0,5414491
0,5511127
0,5605602
0,5705874
0,5806779
0,5903074
0,6000066
0,60963
0,6198546
0,6311601
0,6405582
0,6506463
0,660403
0,6704462
0,6806734
0,6903638
0,7005081
0,7101275
0,7196516
0,7295086
0,7389179
0,7480701
0,757373
0,7670459
0,7761946
0,7871049
0,7983206
0,8072377
0,8162542
0,8250329
0,8343448
0,8429664
0,8518648
0,8603802
0,8695256
0,8786832
0,8877438
0,8966875
0,9054206
0,9145064
0,9233907
0,9342284
0,9436244
0,9525889
0,9612921
0,9707073
0,9804269
0,9893689
0,9981639
1,00725
1,016528
1,025557
1,034587
1,043819
1,052875
1,061727
1,072626
1,08226
1,091691
1,1009
1,109704
1,118703
1,12741
1,137018
1,145915
1,15492
1,163929
1,17297
1,181916
1,192813
1,202063
1,211028
1,220471
1,22944
1,238254
1,248193
1,257046
1,266085
1,274853
1,284499
1,293823
1,303687
1,313328
1,323324
1,333615
1,343668
1,353733
1,363774
1,373603
1,384
1,393618
1,404918
1,417034
1,427711
1,445717
1,455846
1,46653
1,476608
1,486808
1,49714
1,50733
1,517553
1,527903
1,538013
1,548511
1,557985
1,568992
1,577876
1,586866
1,596087
1,605149
1,614226
1,62386
1,633772
1,643115
1,652475
1,662559
1,672342
1,684308
1,69569
1,707632
1,717385
1,726745
1,736541
1,746408
1,755715
1,765484
1,774719
1,784141
1,79298
1,802352
1,812631
1,821562
1,831225
1,840154
1,849288
1,858226
1,867974
1,877177
1,886587
1,895799
1,90486
1,913805
1,922634
1,931889
1,943826
1,955145
1,964477
1,973317
1,982919
1,991937
2,001296
2,010578
2,019728
2,02863
2,037543
2,051933
